model,cutoff,accept_rate,profit_per_1000
lightgbm,0.61,1.0,705170.8092189409
lightgbm,0.62,1.0,705170.8092189409
lightgbm,0.63,1.0,705170.8092189409
lightgbm,0.64,1.0,705170.8092189409
lightgbm,0.65,1.0,705170.8092189409
lightgbm,0.66,1.0,705170.8092189409
lightgbm,0.67,1.0,705170.8092189409
lightgbm,0.68,1.0,705170.8092189409
lightgbm,0.6900000000000001,1.0,705170.8092189409
lightgbm,0.7000000000000001,1.0,705170.8092189409
lightgbm,0.7100000000000001,1.0,705170.8092189409
lightgbm,0.72,1.0,705170.8092189409
lightgbm,0.73,1.0,705170.8092189409
lightgbm,0.74,1.0,705170.8092189409
lightgbm,0.75,1.0,705170.8092189409
lightgbm,0.76,1.0,705170.8092189409
lightgbm,0.77,1.0,705170.8092189409
lightgbm,0.78,1.0,705170.8092189409
lightgbm,0.79,1.0,705170.8092189409
lightgbm,0.8,1.0,705170.8092189409
lightgbm,0.81,1.0,705170.8092189409
lightgbm,0.8200000000000001,1.0,705170.8092189409
lightgbm,0.8300000000000001,1.0,705170.8092189409
lightgbm,0.8400000000000001,1.0,705170.8092189409
lightgbm,0.85,1.0,705170.8092189409
lightgbm,0.86,1.0,705170.8092189409
lightgbm,0.87,1.0,705170.8092189409
lightgbm,0.88,1.0,705170.8092189409
lightgbm,0.89,1.0,705170.8092189409
lightgbm,0.9,1.0,705170.8092189409
lightgbm,0.91,1.0,705170.8092189409
lightgbm,0.92,1.0,705170.8092189409
lightgbm,0.93,1.0,705170.8092189409
lightgbm,0.9400000000000001,1.0,705170.8092189409
lightgbm,0.9500000000000001,1.0,705170.8092189409
lightgbm,0.9600000000000001,1.0,705170.8092189409
lightgbm,0.97,1.0,705170.8092189409
lightgbm,0.98,1.0,705170.8092189409
lightgbm,0.99,1.0,705170.8092189409
mlp,0.01,0.0,0.0
mlp,0.02,0.0,0.0
mlp,0.03,0.022489099941348144,33767.45627610184
mlp,0.04,0.07215238175997965,94177.33444983853
mlp,0.05,0.09358150841265467,119362.11355140516
mlp,0.060000000000000005,0.1351430610615279,167046.6677619724
mlp,0.06999999999999999,0.20646866365634253,244133.74711157277
mlp,0.08,0.28034880187685934,316433.87547433807
mlp,0.09,0.35212665974150786,380445.33311427216
mlp,0.09999999999999999,0.4298015023354745,446794.22169694665
mlp,0.11,0.4298015023354745,446794.22169694665
mlp,0.12,0.5070700218354497,505616.8158755733
mlp,0.13,0.558874449697201,544485.3360115325
mlp,0.14,0.5918749514178909,568243.2407976652
mlp,0.15000000000000002,0.6240027417975733,587140.9085737708
mlp,0.16,0.6545617717100196,608255.8570237363
mlp,0.17,0.6881629249609577,628858.3850600298
mlp,0.18000000000000002,0.7675125253510279,670897.1797290707
mlp,0.19,0.7675125253510279,670897.1797290707
mlp,0.2,0.7834474571240805,676583.6823472049
mlp,0.21000000000000002,0.8803431486859864,704756.4634697872
mlp,0.22,0.8803537484188731,704776.8529746383
mlp,0.23,0.8981789658900595,710075.6288468197
mlp,0.24000000000000002,0.9398359161349134,714359.899655862
mlp,0.25,0.9398465158678001,714401.1432165244
mlp,0.26,0.9619893578681817,713556.00806993
mlp,0.27,0.976189466692106,713486.2938033962
mlp,0.28,0.9785814730802117,712402.7260746363
